in	out	weight	time
1.0	2.0		
1.0	3.0		
1.0	4.0		
1.0	5.0		
1.0	6.0		
1.0	7.0		
8.0	9.0		
8.0	10.0		
8.0	5.0		
8.0	11.0		
8.0	12.0		
13.0	14.0		
13.0	15.0		
13.0	16.0		
13.0	17.0		
13.0	18.0		
13.0	19.0		
20.0	21.0		
20.0	22.0		
20.0	23.0		
20.0	24.0		
20.0	25.0		
26.0	27.0		
26.0	28.0		
26.0	29.0		
26.0	30.0		
26.0	31.0		
26.0	32.0		
26.0	33.0		
34.0	15.0		
34.0	16.0		
34.0	35.0		
34.0	23.0		
21.0	36.0		
21.0	37.0		
21.0	38.0		
21.0	23.0		
21.0	25.0		
2.0	39.0		
2.0	40.0		
2.0	10.0		
2.0	41.0		
2.0	11.0		
2.0	42.0		
43.0	13.0		
43.0	44.0		
43.0	45.0		
43.0	36.0		
43.0	15.0		
43.0	46.0		
43.0	47.0		
43.0	11.0		
48.0	26.0		
48.0	29.0		
48.0	31.0		
48.0	49.0		
48.0	50.0		
48.0	51.0		
48.0	52.0		
9.0	40.0		
9.0	53.0		
9.0	10.0		
9.0	3.0		
27.0	26.0		
27.0	16.0		
27.0	54.0		
27.0	46.0		
27.0	55.0		
27.0	25.0		
56.0	14.0		
56.0	18.0		
56.0	57.0		
56.0	58.0		
59.0	13.0		
59.0	15.0		
59.0	60.0		
59.0	4.0		
59.0	61.0		
62.0	26.0		
62.0	15.0		
62.0	63.0		
62.0	64.0		
65.0	13.0		
65.0	15.0		
65.0	18.0		
65.0	11.0		
66.0	9.0		
66.0	40.0		
66.0	67.0		
66.0	12.0		
68.0	53.0		
68.0	57.0		
68.0	41.0		
68.0	69.0		
68.0	70.0		
71.0	40.0		
71.0	54.0		
71.0	28.0		
71.0	72.0		
71.0	73.0		
14.0	15.0		
14.0	17.0		
14.0	18.0		
14.0	74.0		
14.0	75.0		
44.0	48.0		
44.0	36.0		
44.0	46.0		
44.0	76.0		
44.0	64.0		
45.0	36.0		
45.0	47.0		
45.0	63.0		
45.0	10.0		
45.0	77.0		
45.0	76.0		
36.0	45.0		
36.0	78.0		
36.0	63.0		
36.0	76.0		
36.0	79.0		
80.0	45.0		
80.0	15.0		
80.0	23.0		
80.0	75.0		
81.0	82.0		
81.0	15.0		
81.0	63.0		
81.0	77.0		
81.0	24.0		
82.0	9.0		
82.0	83.0		
82.0	46.0		
82.0	84.0		
82.0	85.0		
78.0	86.0		
78.0	76.0		
78.0	38.0		
78.0	87.0		
78.0	88.0		
89.0	9.0		
89.0	40.0		
89.0	50.0		
89.0	5.0		
89.0	75.0		
89.0	11.0		
89.0	90.0		
15.0	13.0		
15.0	16.0		
15.0	18.0		
15.0	54.0		
15.0	74.0		
15.0	23.0		
15.0	12.0		
39.0	78.0		
39.0	5.0		
39.0	11.0		
39.0	12.0		
39.0	24.0		
16.0	15.0		
16.0	17.0		
16.0	19.0		
16.0	63.0		
83.0	15.0		
83.0	10.0		
83.0	91.0		
83.0	42.0		
22.0	13.0		
22.0	20.0		
22.0	15.0		
22.0	16.0		
22.0	17.0		
22.0	92.0		
22.0	4.0		
22.0	23.0		
93.0	45.0		
93.0	32.0		
93.0	69.0		
93.0	11.0		
93.0	24.0		
93.0	25.0		
17.0	13.0		
17.0	16.0		
17.0	19.0		
17.0	84.0		
17.0	74.0		
17.0	64.0		
40.0	9.0		
40.0	15.0		
40.0	94.0		
40.0	23.0		
40.0	73.0		
40.0	12.0		
18.0	56.0		
18.0	14.0		
18.0	15.0		
18.0	74.0		
95.0	20.0		
95.0	21.0		
95.0	25.0		
96.0	15.0		
96.0	16.0		
96.0	54.0		
97.0	19.0		
97.0	74.0		
97.0	12.0		
54.0	15.0		
54.0	40.0		
54.0	74.0		
54.0	10.0		
54.0	23.0		
46.0	84.0		
46.0	60.0		
46.0	87.0		
46.0	55.0		
35.0	18.0		
35.0	74.0		
35.0	92.0		
35.0	98.0		
35.0	33.0		
19.0	13.0		
19.0	36.0		
19.0	16.0		
19.0	17.0		
19.0	97.0		
19.0	63.0		
19.0	12.0		
84.0	46.0		
84.0	99.0		
84.0	73.0		
84.0	87.0		
74.0	13.0		
74.0	14.0		
74.0	18.0		
74.0	35.0		
74.0	100.0		
74.0	42.0		
101.0	14.0		
101.0	74.0		
101.0	3.0		
101.0	57.0		
101.0	87.0		
101.0	102.0		
67.0	66.0		
67.0	89.0		
67.0	103.0		
67.0	10.0		
67.0	98.0		
67.0	12.0		
67.0	42.0		
53.0	78.0		
53.0	89.0		
53.0	84.0		
53.0	63.0		
53.0	29.0		
103.0	41.0		
103.0	75.0		
103.0	98.0		
103.0	42.0		
47.0	13.0		
47.0	36.0		
47.0	16.0		
47.0	17.0		
47.0	97.0		
47.0	12.0		
47.0	64.0		
28.0	44.0		
28.0	18.0		
28.0	31.0		
28.0	100.0		
28.0	11.0		
28.0	12.0		
94.0	40.0		
94.0	10.0		
94.0	41.0		
94.0	11.0		
94.0	55.0		
94.0	102.0		
63.0	16.0		
63.0	19.0		
63.0	29.0		
63.0	51.0		
63.0	75.0		
63.0	52.0		
10.0	9.0		
10.0	89.0		
10.0	54.0		
10.0	91.0		
29.0	34.0		
29.0	15.0		
29.0	16.0		
29.0	104.0		
29.0	105.0		
29.0	57.0		
29.0	106.0		
29.0	23.0		
60.0	59.0		
60.0	15.0		
60.0	16.0		
60.0	74.0		
60.0	31.0		
60.0	33.0		
3.0	9.0		
3.0	101.0		
3.0	67.0		
3.0	41.0		
3.0	11.0		
3.0	42.0		
107.0	84.0		
107.0	108.0		
107.0	92.0		
107.0	87.0		
30.0	13.0		
30.0	27.0		
30.0	84.0		
30.0	100.0		
30.0	99.0		
30.0	55.0		
31.0	48.0		
31.0	109.0		
31.0	49.0		
31.0	41.0		
31.0	6.0		
86.0	13.0		
86.0	78.0		
86.0	18.0		
86.0	63.0		
86.0	106.0		
86.0	38.0		
86.0	55.0		
110.0	2.0		
110.0	58.0		
110.0	42.0		
108.0	74.0		
108.0	10.0		
108.0	107.0		
108.0	92.0		
108.0	12.0		
32.0	47.0		
32.0	28.0		
32.0	92.0		
32.0	4.0		
32.0	6.0		
77.0	81.0		
77.0	89.0		
77.0	10.0		
77.0	75.0		
109.0	26.0		
109.0	35.0		
109.0	31.0		
109.0	41.0		
109.0	4.0		
109.0	69.0		
109.0	33.0		
109.0	6.0		
104.0	29.0		
104.0	30.0		
104.0	4.0		
104.0	51.0		
104.0	58.0		
92.0	13.0		
92.0	16.0		
92.0	35.0		
92.0	107.0		
92.0	108.0		
92.0	24.0		
111.0	23.0		
112.0	20.0		
112.0	93.0		
112.0	3.0		
112.0	25.0		
112.0	102.0		
105.0	54.0		
105.0	35.0		
105.0	87.0		
113.0	93.0		
113.0	29.0		
113.0	60.0		
114.0	60.0		
114.0	51.0		
115.0	15.0		
115.0	54.0		
115.0	23.0		
85.0	9.0		
85.0	78.0		
85.0	40.0		
85.0	5.0		
76.0	45.0		
76.0	36.0		
76.0	78.0		
72.0	1.0		
72.0	45.0		
72.0	78.0		
72.0	67.0		
72.0	103.0		
72.0	42.0		
49.0	48.0		
49.0	68.0		
