in	out	weight	time
1	1r	1	1075377353
1	2r	1	1075377353
1	3r	1	1077421473
1	5r	1	1086461672
1	6r	1	1086461672
1	7r	1	1086461672
1	8r	1	1086461672
1	9r	1	1086461672
1	10r	1	1086461672
1	11r	1	1086461672
1	12r	1	1086461672
1	13r	1	1086461672
1	14r	1	1086461672
1	15r	1	1086461672
1	16r	1	1086461672
1	17r	1	1086461672
1	18r	1	1086461672
1	19r	1	1086461672
1	20r	1	1086461672
1	21r	1	1086461672
1	22r	1	1086461672
1	23r	1	1086461672
1	24r	1	1086461672
1	25r	1	1086461672
1	26r	1	1086461672
1	27r	1	1086461672
1	28r	1	1086461672
1	29r	1	1086461672
1	30r	1	1086461672
1	31r	1	1086461672
1	32r	1	1086461672
1	33r	1	1086461672
1	34r	1	1086461672
1	35r	1	1086461672
1	36r	1	1086461672
1	37r	1	1086461672
1	38r	1	1086461672
1	39r	1	1086461672
1	40r	1	1086461672
1	41r	1	1086461672
1	42r	1	1086461672
1	43r	1	1086461672
1	44r	1	1086461672
1	45r	1	1086461672
1	46r	1	1086461672
1	47r	1	1086461672
1	48r	1	1086461672
1	49r	1	1086461672
1	50r	1	1086461672
1	51r	1	1086461672
1	52r	1	1086461672
1	53r	1	1086461672
1	54r	1	1086461672
1	55r	1	1086461672
1	56r	1	1086461672
1	57r	1	1086461672
1	58r	1	1086461672
1	59r	1	1086461672
1	60r	1	1086461672
1	61r	1	1086461672
1	62r	1	1086461672
1	63r	1	1086461672
1	64r	1	1086461672
1	65r	1	1086461672
1	66r	1	1086461672
1	67r	1	1086461672
1	68r	1	1086461672
1	69r	1	1086461672
1	70r	1	1086461672
1	71r	1	1086461672
1	72r	1	1086461672
1	73r	1	1086461672
1	74r	1	1086461672
1	75r	1	1086461672
1	76r	1	1086461672
1	77r	1	1086461672
1	78r	1	1086461672
1	79r	1	1086461764
2	80r	1	1087201655
2	81r	1	1087201656
2	82r	1	1087201659
2	83r	1	1087201661
2	84r	1	1087201662
2	85r	1	1087201622
2	86r	1	1087201625
2	87r	1	1087201626
2	88r	1	1087201626
2	89r	1	1087201626
2	90r	1	1087201627
2	91r	1	1087201628
2	92r	1	1087201629
2	93r	1	1087201630
2	94r	1	1087201631
2	95r	1	1087201632
2	96r	1	1087201633
2	97r	1	1087201634
2	98r	1	1087201634
2	99r	1	1087201635
2	100r	1	1087201636
2	101r	1	1087201637
2	102r	1	1087201638
2	103r	1	1087201639
2	104r	1	1087201640
2	105r	1	1087201641
2	106r	1	1087201642
2	107r	1	1087201643
2	108r	1	1087201644
2	109r	1	1087201644
2	110r	1	1087201645
2	111r	1	1087201647
2	112r	1	1087201648
2	113r	1	1087201649
2	114r	1	1087201650
2	115r	1	1087201651
2	116r	1	1087201653
2	117r	1	1087201654
2	118r	1	1087201663
2	119r	1	1087201663
2	120r	1	1087201664
2	121r	1	1087201665
2	122r	1	1087201666
2	123r	1	1087201666
2	124r	1	1087201667
2	125r	1	1087201668
2	126r	1	1087201668
2	127r	1	1087201668
2	128r	1	1087201669
2	129r	1	1087201669
2	130r	1	1087201669
2	131r	1	1087201670
2	132r	1	1087201670
2	133r	1	1087201670
2	134r	1	1087201670
2	135r	1	1087201670
2	136r	1	1087201670
2	137r	1	1087201671
2	138r	1	1087201672
2	139r	1	1087201672
2	140r	1	1087201673
2	141r	1	1087201673
2	142r	1	1087201674
2	143r	1	1087201674
2	144r	1	1087201674
2	145r	1	1087201675
2	146r	1	1087201676
2	147r	1	1087201677
2	148r	1	1087201679
2	149r	1	1087201681
2	150r	1	1087201682
2	151r	1	1087201683
2	152r	1	1087201683
2	153r	1	1087201684
2	154r	1	1087201685
3	155r	1	1429231587
4	155r	1	1114209746
5	156r	1	1135903275
5	157r	1	1135903380
6	158r	1	1136191228
6	159r	1	1136191239
7	160r	1	1136421927
7	161r	1	1136421961
8	162r	1	1136696297
8	163r	1	1136696394
9	164r	1	1137765071
10	166r	1	1151850411
11	167r	1	1162124914
3	168r	1	1429231582
12	168r	1	1162392676
11	169r	1	1163707774
13	170r	1	1171440294
13	171r	1	1171440313
3	172r	1	1429231583
14	172r	1	1188373026
14	173r	1	1188373050
15	174r	1	1190604090
15	175r	1	1190604212
15	175r	1	1200330317
15	175r	1	1190604230
15	175r	1	1192402055
16	176r	1	1194867067
3	177r	1	1429231583
17	177r	1	1426839339
14	177r	1	1196673375
17	177r	1	1429245734
18	178r	1	1197420473
19	179r	1	1200261766
20	180r	1	1201215476
20	181r	1	1201215481
21	182r	1	1201532709
16	182r	1	1418737553
22	183r	1	1201567312
23	184r	1	1201603428
23	185r	1	1201603434
24	186r	1	1203088648
24	186r	1	1329624722
16	187r	1	1205440923
16	187r	1	1205443227
25	188r	1	1206611326
26	189r	1	1208430223
3	189r	1	1429231587
17	190r	1	1429245743
3	190r	1	1429231587
17	190r	1	1429213399
26	190r	1	1208432223
26	191r	1	1208434744
26	191r	1	1208434836
27	191r	1	1316374252
28	192r	1	1208441630
27	192r	1	1316374252
27	193r	1	1316374252
28	193r	1	1208441646
29	194r	1	1231394645
30	194r	1	1410431468
31	195r	1	1177249368
32	195r	1	1154387296
15	195r	1	1196110149
24	195r	1	1237178683
12	195r	1	1166196177
14	195r	1	1195765915
31	195r	1	1177249570
33	195r	1	1326356882
15	195r	1	1196110157
13	195r	1	1171440202
34	195r	1	1140656644
