Def,Node1,Node2,Common Neighbours,Adamic-Adar,Jaccard Coefficient,Preferential Attachment
1,1,2,1,0.16269873579458505,0.02564102564102564,3707
1,2,1,1,0.16269873579458505,0.02564102564102564,3707
1,1,3,17,3.5888262370582944,0.08673469387755102,157379
1,3,1,17,3.5888262370582944,0.08673469387755102,157379
0,1,4,1,0.16269873579458505,0.02857142857142857,337
0,4,1,1,0.16269873579458505,0.02857142857142857,337
0,1,5,1,0.4170323914242463,0.02857142857142857,337
0,5,1,1,0.4170323914242463,0.02857142857142857,337
0,1,6,2,0.4668182739918144,0.02040816326530612,106155
0,6,1,2,0.4668182739918144,0.02040816326530612,106155
0,1,7,1,0.28853900817779266,0.02564102564102564,1685
0,7,1,1,0.28853900817779266,0.02564102564102564,1685
0,1,8,1,0.1456696539155576,0.01020408163265306,93012
0,8,1,1,0.1456696539155576,0.01020408163265306,93012
0,1,9,11,2.18251918093556,0.04150943396226415,434393
0,9,1,11,2.18251918093556,0.04150943396226415,434393
0,1,12,5,0.9251063909608495,0.029069767441860465,407770
0,12,1,5,0.9251063909608495,0.029069767441860465,407770
0,1,14,1,0.18259959014012006,0.02702702702702703,1348
0,14,1,1,0.18259959014012006,0.02702702702702703,1348
0,1,19,4,0.7475886714112066,0.028368794326241134,143225
0,19,1,4,0.7475886714112066,0.028368794326241134,143225
0,1,26,5,1.0133368684951378,0.09615384615384616,39766
0,26,1,5,1.0133368684951378,0.09615384615384616,39766
0,1,27,4,0.6479592348019839,0.04878048780487805,176925
0,27,1,4,0.6479592348019839,0.04878048780487805,176925
1,1,30,3,0.6692389561030154,0.0625,25275
1,30,1,3,0.6692389561030154,0.0625,25275
0,1,31,1,0.23161615589971676,0.02857142857142857,1348
0,31,1,1,0.23161615589971676,0.02857142857142857,1348
1,1,32,11,2.046358624735647,0.047619047619047616,322846
1,32,1,11,2.046358624735647,0.047619047619047616,322846
0,1,33,1,0.1456696539155576,0.02702702702702703,1011
0,33,1,1,0.1456696539155576,0.02702702702702703,1011
0,1,34,5,0.8810489555581082,0.05747126436781609,73803
0,34,1,5,0.8810489555581082,0.05747126436781609,73803
0,1,35,1,0.17021477287358108,0.027777777777777776,674
0,35,1,1,0.17021477287358108,0.027777777777777776,674
1,1,36,5,0.8606020758878308,0.04201680672268908,109862
1,36,1,5,0.8606020758878308,0.04201680672268908,109862
0,1,37,1,0.1728041701966084,0.02857142857142857,337
0,37,1,1,0.1728041701966084,0.02857142857142857,337
0,1,38,3,0.5727762449442068,0.04225352112676056,112221
0,38,1,3,0.5727762449442068,0.04225352112676056,112221
0,1,40,1,0.1728041701966084,0.027777777777777776,674
0,40,1,1,0.1728041701966084,0.027777777777777776,674
0,1,41,5,0.8797736153658501,0.023474178403755867,251739
0,41,1,5,0.8797736153658501,0.023474178403755867,251739
1,1,42,8,1.484767978875538,0.0392156862745098,205233
1,42,1,8,1.484767978875538,0.0392156862745098,205233
0,1,43,2,0.39464515198675876,0.05555555555555555,2022
0,43,1,2,0.39464515198675876,0.05555555555555555,2022
1,1,44,5,0.9669880981716377,0.04854368932038835,80543
1,44,1,5,0.9669880981716377,0.04854368932038835,80543
0,1,45,1,0.18259959014012006,0.02857142857142857,337
0,45,1,1,0.18259959014012006,0.02857142857142857,337
0,1,46,1,0.18259959014012006,0.02564102564102564,1685
0,46,1,1,0.18259959014012006,0.02564102564102564,1685
0,1,48,3,0.5936833843782354,0.03529411764705882,158727
0,48,1,3,0.5936833843782354,0.03529411764705882,158727
0,1,50,3,0.6439427685145211,0.0375,62345
0,50,1,3,0.6439427685145211,0.0375,62345
0,1,51,4,0.7244557055379472,0.047619047619047616,103796
0,51,1,4,0.7244557055379472,0.047619047619047616,103796
0,1,52,2,0.3158844267891387,0.024390243902439025,62008
0,52,1,2,0.3158844267891387,0.024390243902439025,62008
0,1,55,1,0.1728041701966084,0.027777777777777776,674
0,55,1,1,0.1728041701966084,0.027777777777777776,674
0,1,56,1,0.1728041701966084,0.0196078431372549,12469
0,56,1,1,0.1728041701966084,0.0196078431372549,12469
0,1,58,3,0.4811725599067511,0.05,18872
0,58,1,3,0.4811725599067511,0.05,18872
0,1,59,2,0.3282692440556777,0.0392156862745098,6740
0,59,1,2,0.3282692440556777,0.0392156862745098,6740
0,1,60,5,0.8228558762849606,0.09615384615384616,32689
0,60,1,5,0.8228558762849606,0.09615384615384616,32689
0,1,62,2,0.32178246203267447,0.02247191011235955,65041
0,62,1,2,0.32178246203267447,0.02247191011235955,65041
0,1,63,5,0.9699636075372378,0.044642857142857144,168163
0,63,1,5,0.9699636075372378,0.044642857142857144,168163
0,1,67,7,1.23566027605508,0.03804347826086957,163108
0,67,1,7,1.23566027605508,0.03804347826086957,163108
0,1,68,5,0.8799508353375762,0.07142857142857142,121994
0,68,1,5,0.8799508353375762,0.07142857142857142,121994
0,1,69,2,0.32617677276930945,0.023529411764705882,25949
0,69,1,2,0.32617677276930945,0.023529411764705882,25949
0,1,72,6,1.0252450446172583,0.05660377358490566,185013
0,72,1,6,1.0252450446172583,0.05660377358490566,185013
0,1,73,3,0.4791951595658114,0.04411764705882353,75825
0,73,1,3,0.4791951595658114,0.04411764705882353,75825
0,1,74,2,0.365906856358569,0.021505376344086023,75151
0,74,1,2,0.365906856358569,0.021505376344086023,75151
0,1,75,4,0.6851988421733151,0.09302325581395349,22242
0,75,1,4,0.6851988421733151,0.09302325581395349,22242
0,1,77,1,0.1456696539155576,0.02857142857142857,337
0,77,1,1,0.1456696539155576,0.02857142857142857,337
0,1,78,1,0.19361886534096467,0.023255813953488372,3033
0,78,1,1,0.19361886534096467,0.023255813953488372,3033
0,1,79,1,0.18259959014012006,0.0196078431372549,9436
0,79,1,1,0.18259959014012006,0.0196078431372549,9436
0,1,80,1,0.15908372623808942,0.02040816326530612,22916
0,80,1,1,0.15908372623808942,0.02040816326530612,22916
0,1,81,1,0.1728041701966084,0.021739130434782608,7751
0,81,1,1,0.1728041701966084,0.021739130434782608,7751
0,1,83,3,0.5154013273736391,0.06666666666666667,6403
0,83,1,3,0.5154013273736391,0.06666666666666667,6403
0,1,84,3,0.5181024961313135,0.05555555555555555,17187
0,84,1,3,0.5181024961313135,0.05555555555555555,17187
0,1,85,1,0.2088776448560291,0.017241379310344827,17524
0,85,1,1,0.2088776448560291,0.017241379310344827,17524
0,1,88,7,1.1548822061653756,0.11290322580645161,43136
0,88,1,7,1.1548822061653756,0.11290322580645161,43136
0,1,89,1,0.1728041701966084,0.027777777777777776,674
0,89,1,1,0.1728041701966084,0.027777777777777776,674
0,1,90,2,0.3554037603367285,0.031746031746031744,25949
0,90,1,2,0.3554037603367285,0.031746031746031744,25949
0,1,92,1,0.18259959014012006,0.02702702702702703,1685
0,92,1,1,0.18259959014012006,0.02702702702702703,1685
0,1,93,2,0.38168181505263754,0.05128205128205128,6066
0,93,1,2,0.38168181505263754,0.05128205128205128,6066
0,1,95,1,0.18259959014012006,0.008064516129032258,173892
0,95,1,1,0.18259959014012006,0.008064516129032258,173892
0,1,96,1,0.1456696539155576,0.017857142857142856,13817
0,96,1,1,0.1456696539155576,0.017857142857142856,13817
0,1,97,2,0.29525994273371126,0.018518518518518517,132778
0,97,1,2,0.29525994273371126,0.018518518518518517,132778
0,1,98,2,0.29525994273371126,0.047619047619047616,9099
0,98,1,2,0.29525994273371126,0.047619047619047616,9099
0,1,99,4,0.677186222369403,0.08333333333333333,22579
0,99,1,4,0.677186222369403,0.08333333333333333,22579
0,1,100,1,0.19585011338479313,0.02702702702702703,2359
0,100,1,1,0.19585011338479313,0.02702702702702703,2359
1,1,101,2,0.35454729877158675,0.024390243902439025,55605
1,101,1,2,0.35454729877158675,0.024390243902439025,55605
